"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4666","ebay","chromium","2026-01-26","passed","2026-01-26","ecommerce@shopping","group.spec.js","",""
"","4426","facebook@social","chromium","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","3559","amazon","chromium","2026-01-26","passed","2026-01-26","ecommerce@shopping","group.spec.js","",""
"","2881","twitter@social","webkit","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","3092","facebook@social","firefox","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","40085","ebay","webkit","2026-01-26","broken","2026-01-26","ecommerce@shopping","group.spec.js","",""
"","4260","instagram@social","chromium","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","4451","instagram@social","firefox","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","5629","youtube@social","chromium","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","6594","twitter@social","chromium","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","2009","instagram@social","webkit","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","7186","twitter@social","firefox","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","4608","ebay","firefox","2026-01-26","passed","2026-01-26","ecommerce@shopping","group.spec.js","",""
"","3173","amazon","firefox","2026-01-26","passed","2026-01-26","ecommerce@shopping","group.spec.js","",""
"","3260","youtube@social","webkit","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","2178","facebook@social","webkit","2026-01-26","passed","2026-01-26","","group.spec.js","",""
"","1521","amazon","webkit","2026-01-26","passed","2026-01-26","ecommerce@shopping","group.spec.js","",""
"","6455","youtube@social","firefox","2026-01-26","passed","2026-01-26","","group.spec.js","",""
